image,detected_cells,avg_width_px,avg_length_px,std_width_px,std_length_px
t000.png,7,27.708132613542492,32.175558321426095,8.907574046565772,12.954863274890972
t001.png,15,24.069245264817066,26.010387885761435,5.161263045793193,7.687701402258976
t002.png,12,25.233922718097585,29.522209196318546,4.504656326435311,8.60032904132001
t003.png,9,29.448003627281302,35.751456675946415,11.26091701777872,20.87246659594304
t004.png,8,28.402684396411004,39.53498318887137,8.075766802507763,17.37667200312858
t005.png,9,24.088141736549964,32.96216362180256,5.031687889579255,24.43280620210455
t006.png,12,26.870371668602633,35.12717193446314,6.351418079920096,17.409248904392058
t007.png,11,26.732272184706268,36.69532576590289,4.911007629627564,13.628482898567562
t008.png,10,26.489163930011507,34.89840384323663,6.3106756552104555,17.982889379913722
t009.png,12,27.478021875246935,35.117063744905735,4.170362133106652,11.969628002168477
